City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Kapaa,US,22.08,-159.32,80.01,83,75,16.11,light rain
83,Butaritari,KI,3.07,172.79,82.2,76,76,9.57,broken clouds
84,Norfolk,US,42.17,-71.25,48.2,93,90,3.06,heavy intensity rain
85,Sao Joao Dos Patos,BR,-6.5,-43.7,77.94,65,13,2.26,few clouds
86,Zaraza,VE,9.35,-65.32,75.85,93,98,1.95,moderate rain
87,Zeya,RU,53.75,127.27,18.5,86,100,9.6,overcast clouds
88,Basoko,CD,1.24,23.62,71.04,94,100,2.53,light rain
89,Cervo,ES,43.67,-7.41,69.01,1,100,11.36,overcast clouds
90,Rawson,AR,-43.3,-65.1,75.16,26,100,25.59,overcast clouds
91,Hengshui,CN,37.73,115.7,52.52,39,0,9.98,clear sky
92,Hami,CN,42.8,93.45,39.79,59,0,7.07,clear sky
93,Cabo San Lucas,MX,22.89,-109.91,80.01,82,0,6.35,clear sky
94,Pokosnoye,RU,55.53,101.05,20.79,88,85,6.8,overcast clouds
95,Ribeira Grande,PT,38.52,-28.7,63.64,74,96,18.66,overcast clouds
96,Willowmore,ZA,-33.29,23.49,54.81,91,8,6.2,clear sky
97,Saint Anthony,US,45.02,-93.22,33.8,74,1,5.82,clear sky
98,Trincomalee,LK,8.57,81.23,78.12,77,0,5.53,clear sky
99,Coffs Harbour,AU,-30.3,153.13,73.4,60,90,23.04,overcast clouds
100,Upernavik,GL,72.79,-56.15,16.54,92,97,3.24,overcast clouds
101,Souillac,MU,-20.52,57.52,68.0,94,20,1.12,few clouds
102,Yulara,AU,-25.24,130.99,89.6,11,0,14.99,clear sky
103,Bethel,US,41.37,-73.41,48.2,87,90,9.17,overcast clouds
104,Barrow,US,71.29,-156.79,26.6,68,20,16.11,few clouds
105,Thompson,CA,55.74,-97.86,23.0,92,75,8.05,broken clouds
106,Iqaluit,CA,63.75,-68.51,15.8,78,90,5.82,light snow
107,Orel-Izumrud,RU,43.46,39.92,53.6,81,90,11.18,light rain
108,Weligama,LK,5.97,80.42,77.58,82,85,5.3,overcast clouds
109,Partizanskoye,RU,55.5,94.39,32.31,91,100,4.7,overcast clouds
110,Hovd,MN,48.01,91.64,24.53,89,0,1.1,clear sky
111,Hay River,CA,60.82,-115.8,19.4,73,100,16.11,overcast clouds
112,Juegang,CN,32.32,121.19,66.0,1,99,8.95,overcast clouds
113,Airai,TL,-8.93,125.41,76.75,43,100,4.47,overcast clouds
114,Pisco,PE,-13.7,-76.22,66.2,77,90,11.41,overcast clouds
115,Mao,ES,39.89,4.27,64.4,82,0,9.17,clear sky
116,Faanui,PF,-16.48,-151.75,80.42,79,0,20.67,clear sky
117,Ahipara,NZ,-35.17,173.17,71.35,67,100,7.96,overcast clouds
118,Santa Rita Do Sapucai,BR,-22.25,-45.7,51.69,91,0,3.33,clear sky
